"Descrizione","RestQa","Note","Appunti"
"Ciliegia ","3 ml","Testa","L'olio essenziale di ciliegia è una nota di testa con un profumo dolce, fruttato e succoso che evoca freschezza e gioia. È noto per le sue proprietà antiossidanti e tonificanti ed è spesso utilizzato in cosmetici per la cura della pelle. Si sposa bene con note floreali come la rosa e il gelsomino e con note dolci come la vaniglia e il caramello. Utilizzato in profumi e prodotti di bellezza, apporta una sensazione di vivacità e allegria.

"
"Cioccolato","10 ml","Fondo","L'olio essenziale di cioccolato è una nota di fondo dolce e avvolgente, con un profumo ricco e goloso. Si combina bene con note di testa come arancia o menta, creando un contrasto fresco e stimolante. Inoltre, si sposa perfettamente con note di cuore come vaniglia o caffè, per un effetto caldo e indulgente, che rende la composizione ancora più intrigante e decadente.
"
"Cipresso","6 ml","Cuore","L'olio essenziale di cipresso è una nota di cuore con un profumo legnoso fresco e balsamico che trasmette stabilità e calma. È noto per le sue proprietà astringenti e tonificanti ed è spesso utilizzato in aromaterapia per favorire la meditazione e il rilassamento. Si sposa bene con note floreali come la lavanda e il geranio e con note legnose come il pino e il cedro. Utilizzato in profumi e prodotti per la cura personale apporta una sensazione di freschezza e purificazione.
"
"Citronella ","5 ml","Testa","L'olio essenziale di citronella è una nota di testa con un profumo fresco, agrumato e leggermente erbaceo che trasmette vitalità e freschezza. È noto per le sue proprietà repellente per insetti e purificanti ed è spesso utilizzato in aromaterapia per creare un'atmosfera energizzante. Si sposa bene con note floreali come il gelsomino e la lavanda e con note speziate come il pepe nero. Utilizzato in profumi e prodotti per la pulizia, apporta una sensazione di freschezza e leggerezza.
"
"Clary Sage ( Salvia Sclarea) ","4 ml","",""
"Cocco","4 ml","Testa","L'olio essenziale di cocco è una nota di testa dolce e cremosa, con un profumo tropicale e avvolgente. Si combina bene con note di cuore come fiori di tiarè o vaniglia, creando un bouquet esotico e sensuale. Inoltre, si integra perfettamente con note di fondo come legno di sandalo o ambra, per aggiungere profondità e calore alla composizione."
"Cologne","0 ml","",""
"Cumarina","0 ml","",""
"Cuoio","0 ml","",""
"Deep Ocean (Oceano) ","0 ml","",""
"Dipropylene Glycol","0 ml","e","e"
"Elicriso","0 ml","",""
"Eucalipto","4 ml","",""
"Eugenol","0 ml","",""
"Fava Tonka ","0 ml","",""
"Fico","0 ml","",""
"Fieno greco","0 ml","",""
"Finocchio","5 ml","Cuore","Il finocchio è tipicamente considerato una nota di cuore.  ha un profumo speziato, dolce e leggermente erbaceo che si avverte per una durata moderata.Aroma Caratteristico: Il finocchio ha un profumo distintivo e complesso che si combina bene con altre note di cuore come fiori, spezie e erbe aromatiche, aggiungendo profondità e ricchezza alla fragranza.Utilizzo del FinocchioIn una composizione profumiera, il finocchio può essere utilizzato per aggiungere una nota dolce, erbacea e speziata alla fragranza. Si abbina bene con altre spezie, fiori e note legnose, contribuendo a creare un equilibrio armonioso e ricco.Quindi, per le tue composizioni, puoi utilizzare il finocchio come nota di cuore per aggiungere un tocco speziato e aromatico che arricchisce e approfondisce la fragranza, creando una transizione armoniosa dalle note di testa alle note di fondo."
"Fiore d'arancio ","0 ml","",""
"Fiore di giglio ","2 ml","Cuore","L'olio essenziale di fiore di giglio è una nota di cuore elegante e floreale, con un profumo intenso, dolce e seducente. Si abbina bene con note di testa come agrumi, come limone o bergamotto, per una freschezza vivace. Inoltre, si sposa armoniosamente con note di fondo come legno di sandalo o ambra, creando una composizione ricca e avvolgente, perfetta per trasmettere un senso di lusso e raffinatezza."
"Fixolide / Tonalide","0 ml","",""
"Fragola","14 ml","Testa ","L'olio essenziale di fragola è una nota di testa fresca e dolce, con un profumo succoso e fruttato. Si abbina bene con note di cuore come gelsomino o neroli, creando una sensazione floreale e vivace. Inoltre, si sposa bene con note di fondo come muschio o vaniglia, per un effetto morbido e avvolgente che completa la composizione.
"
"Frankincense","5 ml","Fondo","Il frankincense (incenso) è generalmente considerato una nota di fondo. Persistenza Lunga: Le note di fondo sono caratterizzate dalla loro lunga durata e capacità di ancorare la fragranza. Il frankincense ha un aroma persistente e resinosa che rimane percepibile per diverse ore.Aroma Resinoso e Terroso: Il frankincense offre un profumo profondo, resinoso, balsamico e leggermente dolce, che aggiunge robustezza e una base solida alla composizione Utilizzo del FrankincenseIn una composizione profumiera, il frankincense può essere utilizzato per aggiungere profondità, calore e una nota balsamica alla fragranza. Si combina bene con altre note di fondo come il patchouli, il legno di sandalo, e l'ambra, ma può anche armonizzarsi con note di cuore speziate e floreali, creando un equilibrio complesso e sofisticato."
"Fre","9 ml","Cuore","d"
"Fresia","13 ml","Cuore","L'olio essenziale di fresia è una nota di cuore con un profumo floreale dolce e delicato che evoca freschezza e grazia. È noto per le sue proprietà rilassanti e tonificanti ed è spesso utilizzato in aromaterapia per creare un'atmosfera armoniosa. Si sposa bene con note fruttate come la pera e la pesca e con note legnose come il sandalo e il cedro. Utilizzato in profumi e prodotti per la cura personale apporta una sensazione di eleganza e serenità."
"Galaxolide","0 ml","",""
"Gelsomino","42 ml","Cuore","L'olio essenziale di gelsomino è una nota di cuore intensa e seducente, caratterizzata da un aroma ricco e floreale che evoca romanticismo e passione. La sua fragranza, dolce e avvolgente, porta una sensazione di lusso e sensualità. Si sposa magnificamente con note agrumate come il bergamotto e la mandarina, creando un contrasto vivace e luminoso. Inoltre, si armonizza con note orientali come l'oud e il patchouli, aggiungendo profondità e mistero. Il gelsomino, con la sua qualità opulenta, arricchisce ogni composizione di un fascino irresistibile e duraturo.
"
"Gelsomino bianco","12.5 ml","Cuore","L'olio essenziale di gelsomino bianco è una nota di cuore intensa e floreale, con un profumo dolce, sensuale e avvolgente. Si abbina bene con note di testa come bergamotto o limone, per una freschezza luminosa. Inoltre, si fonde magnificamente con note di fondo come legno di sandalo o muschio, creando una composizione ricca e profonda, che trasmette eleganza e mistero."
"Geranio","2 ml","Cuore","L'olio essenziale di geranio è una nota di cuore fresca e verde, caratterizzata da un aroma floreale e leggermente erbaceo che evoca equilibrio e armonia. La sua fragranza, ricca e vivace, porta una sensazione di gioia e vitalità. Si sposa splendidamente con note agrumate come il limone e il pompelmo, creando un'apertura frizzante e solare. Inoltre, si armonizza con note legnose come il cedro e il sandalo, aggiungendo una dimensione calda e avvolgente. Il geranio, con la sua qualità rinfrescante e tonificante, arricchisce ogni composizione di un carattere unico e affascinante"
"Giglio","3.5 ml","Cuore","L'olio essenziale di giglio è una nota di cuore intensa e floreale, con un profumo dolce e sensuale. Si abbina bene con note di testa come bergamotto o mandarino, per una freschezza iniziale luminosa. Inoltre, si sposa magnificamente con note di fondo come legno di sandalo o muschio, creando una composizione ricca e avvolgente, perfetta per evocare eleganza e raffinatezza."
"Ginepro (Juniper) ","5 ml","Testa","L'olio essenziale di ginepro è una nota di testa fresca e resinosa, con un profumo aromatico e leggermente piccante. Si combina bene con note di cuore come rosmarino o lavanda, creando un bouquet energizzante e rinvigorente. Inoltre, si integra perfettamente con note di fondo come legno di cedro o muschio, conferendo alla composizione una profondità terrosa e avvolgente, ideale per evocare una sensazione di calma e connessione con la natura."
"Hedione","0 ml","",""
"Heliotropo","0 ml","",""
"Hotel cique","20 ml","c",""
"Incenso","0 ml","",""
"Ionone","0 ml","",""
"Iris","4 ml","Testa","L'olio essenziale di iris è una nota di cuore sofisticata e floreale, con un profumo delicato, polveroso e leggermente terroso. Si abbina splendidamente con note di testa come bergamotto o limone, per una freschezza iniziale. Inoltre, si fonde bene con note di fondo come legno di sandalo o ambra, creando una composizione ricca e avvolgente, con una profondità elegante e persistente.
"
"Iso e Super","90 ml","Fondo","L'olio essenziale di Iso E Super è una nota di fondo moderna e sofisticata, caratterizzata da un aroma legnoso e ambrato con un effetto quasi talcato. La sua fragranza, che ricorda il legno di cedro, evoca una sensazione di freschezza e pulizia, conferendo eleganza a qualsiasi composizione. Si sposa bene con note floreali come il gelsomino e la rosa, creando un contrasto delicato e affascinante. Inoltre, si armonizza con note orientali come il patchouli e l'oud, aggiungendo una dimensione misteriosa. Iso E Super, con la sua capacità di intensificare le altre fragranze, dona un'aura di raffinatezza e persistenza che rende ogni profumo unico.
"
"Javanol","0 ml","",""
"Jojoba","0 ml","",""
"Karibik","10 ml","Testa","L'olio essenziale di karibik, che evoca l'atmosfera tropicale, è una nota di testa fresca e fruttata, con profumi dolci di agrumi e cocco. Si combina bene con note di cuore come fiori di tiarè o gelsomino, creando un bouquet esotico e solare. Inoltre, si sposa perfettamente con note di fondo come vaniglia o legno di sandalo, per una composizione calda e avvolgente, che trasmette una sensazione di vacanza e relax."
"Labdano","0 ml","",""
"Lampone","2.5 ml","Testa","L'olio essenziale di lampone è una nota di testa con un profumo dolce fruttato e succoso che evoca freschezza e vivacità. È noto per le sue proprietà antiossidanti e idratanti ed è spesso utilizzato in cosmetici per la cura della pelle. Si sposa bene con note floreali come il gelsomino e la rosa e con note dolci come la vaniglia e il caramello. Utilizzato in profumi e prodotti di bellezza apporta una sensazione di gioia e energia."
"Lavanda ","15.5 ml","Cuore / Testa","La lavanda ha una persistenza intermedia che la rende adatta come nota di cuore. Emerge dopo le note di testa e fornisce una transizione armoniosa verso le note di fondo.Aroma Equilibrato: La lavanda ha un profumo fresco, floreale e leggermente erbaceo che si combina bene con altre note di cuore come fiori e spezie, aggiungendo complessità e profondità alla fragranza.Utilizzo come Nota di TestaComposizioni Specifiche: In alcune composizioni, specialmente quelle fresche o aromatiche, la lavanda può essere utilizzata come nota di testa per il suo effetto immediato e rinfrescante."
"Legno di Cedro (Cedarwood) ","0 ml","",""
"Legno di Guaiaco","0 ml","",""
"Lemongrass","4.5 ml","Testa","L'olio essenziale di lemongrass è una nota di testa fresca e citrica, con un profumo vivace e erbaceo. Si combina bene con note di cuore come menta o rosmarino, creando un effetto rinfrescante e stimolante. Inoltre, si sposa perfettamente con note di fondo come legno di cedro o patchouli, aggiungendo una dimensione terrosa e avvolgente alla composizione. 
"
"Lillà","5 ml","Cuore","L'olio essenziale di lillà è una nota di cuore con un profumo floreale dolce e avvolgente che evoca una sensazione di nostalgia e serenità. È noto per le sue proprietà calmanti ed è spesso utilizzato in aromaterapia per promuovere il relax e il benessere emotivo. Si sposa bene con note fresche come il bergamotto e il limone e con note legnose come il sandalo e il cedro. Utilizzato in profumi e prodotti per la cura personale, apporta una sensazione di eleganza e delicatezza."
"Lily (Giglio) ","5 ml","",""
"Lily Flower (Giglio) ","1 ml","Cuore","Il giglio (lily flower) è generalmente considerato una nota di cuore. Persistenza Moderata: Le note di cuore durano più a lungo delle note di testa ma non quanto le note di fondo. Il giglio ha un profumo persistente e avvolgente che emerge dopo le note di testa.Aroma Floreale e Ricco: Il giglio offre un profumo floreale, dolce e leggermente speziato, che si combina bene con altre note di cuore come la rosa, il gelsomino e la lavanda, aggiungendo profondità e complessità alla fragranza In una composizione profumiera, il giglio può essere utilizzato per aggiungere una nota floreale, dolce e lussuosa alla fragranza. Si abbina bene con altre note di cuore come i fiori, le spezie e le note verdi, creando una transizione armoniosa dalle note di testa alle note di fondo.Quindi, per le tue composizioni, puoi utilizzare il giglio come nota di cuore per conferire un tocco floreale ricco e avvolgente, che arricchisce la fragranza e ne aumenta la complessità."
"Lily of the valley (Giacinto) ","12 ml","Cuore","L'olio essenziale di giacinto (lily of the valley) è noto per il suo profumo delicato e fresco, con note floreali verdi che evocano la primavera. Questo aroma evoca una sensazione di purezza e freschezza.

Nel mondo dei profumi, si sposa bene con note di agrumi, come il bergamotto, per una freschezza vibrante, e con note floreali più intense, come rosa e gelsomino, per una complessità elegante. Può anche armonizzarsi con note legnose, come il sandalo o il cedro, per aggiungere profondità e calore."
"Limone","19 ml","Testa","Il limone è tipicamente considerato una nota di testa. Ha un aroma fresco, agrumato e vivace che si avverte immediatamente ma che non persiste a lungo.Dona un inizio fresco e frizzante alla fragranza, catturando subito l'attenzione e preparando il terreno per le note di cuore. In una composizione profumiera, il limone viene utilizzato per aggiungere una freschezza immediata e un carattere agrumato alla fragranza. Si abbina bene con altre note di testa come bergamotto, arancia e menta, e può creare un contrasto interessante con le note di cuore floreali o speziate e le note di fondo legnose o muschiate.Quindi, per le tue composizioni, puoi utilizzare il limone come nota di testa per aggiungere un tocco vivace e agrumato, che catturerà immediatamente l'attenzione e fornirà un'apertura fresca e invitante alla fragranza."
"Limonene","0 ml","",""
"Linalool","0 ml","",""
"Linalyl Acetate","0 ml","",""
"Lino fresco","9 ml","Testa","L'olio essenziale di lino fresco è una nota di testa leggera e pulita, caratterizzata da un aroma fresco e delicato che evoca la freschezza dei tessuti appena lavati. La sua fragranza, che ricorda l'aria primaverile, porta una sensazione di leggerezza e vitalità. Si sposa magnificamente con note floreali come il mughetto e la rosa, creando un bouquet armonioso. Inoltre, si armonizza con note verdi e erbacee, aggiungendo una dimensione naturale e rivitalizzante. Il lino fresco, con la sua qualità crisp e pulita, arricchisce ogni composizione di un senso di freschezza e serenità.
"
"Litsea Cubeba ","7 ml","Testa","L'olio essenziale di litsea cubeba, estratto dai frutti della pianta, ha un profumo fresco e agrumato con note di testa vivaci simili al limone, note di cuore floreali e speziate, e note di fondo legnose e calde. È utilizzato in aromaterapia per le sue proprietà energizzanti e purificanti, ed è ideale per la cosmetica e la pulizia. Si abbina bene con oli agrumati, floreali e legnosi, creando sinergie armoniose.
"
"Lonicera","5 ml","",""
"Maggiorana","0 ml","",""
"Magnolia","0 ml","",""
"Mandarino","0 ml","",""
"Mango","2.5 ml","Testa","L'olio essenziale di mango ha un profumo dolce, fruttato e tropicale, evocando sensazioni di calore e freschezza.

In profumeria, si abbina bene con note agrumate come arancia e limone, creando una miscela vivace. Si sposa anche con note floreali come il gelsomino e la rosa, per una composizione più romantica, e con note legnose o ambrate, come il sandalo, per aggiungere profondità e calore."
"Mela","0 ml","",""
"Menta","10 ml","Testa","L'olio essenziale di menta ha un profilo olfattivo fresco, energizzante e pungente. È caratterizzato da una nota mentolata che evoca una sensazione di freschezza e vivacità, spesso associata a una rinvigorente leggerezza.

Posizionamento nel profumo:

Nota di testa: grazie alla sua freschezza e capacità di attrarre immediatamente l'attenzione.


Accoppiamenti consigliati:

Nota di cuore: Erbe aromatiche (come basilico o rosmarino) per un effetto verde e aromatico.

Nota di fondo: Legni leggeri (come cedro) per dare profondità e stabilità.


Questa combinazione crea un profumo fresco e stimolante, ideale per evocare energia e vitalità.

"
"Menta Piperita","1 ml","Testa","L'olio essenziale di menta piperita è una nota di testa con un profumo fresco, pungente e mentolato che trasmette energia e vitalità. È noto per le sue proprietà rinfrescanti, digestive e analgesiche ed è spesso utilizzato in aromaterapia per stimolare la mente e alleviare la tensione. Si sposa bene con note agrumate come il limone e il bergamotto e con note speziate come il cardamomo. Utilizzato in profumi e prodotti per la cura personale, apporta una sensazione di freschezza e chiarezza.

"
"Miele","0 ml","",""
"Mirra","4 ml","Fondo","L'olio essenziale di mirra è una nota di fondo con un profumo caldo, resinato e terroso che evoca profondità e mistero. È noto per le sue proprietà antinfiammatorie e cicatrizzanti ed è spesso utilizzato in aromaterapia per promuovere la meditazione e il rilassamento profondo. Si sposa bene con note speziate come il cardamomo e la cannella e con note legnose come il sandalo e il cedro. Utilizzato in profumi e prodotti per la cura personale, apporta una sensazione di calma e introspezione."
"Mirtillo","5 ml","Testa","L'olio essenziale di mirtillo è una nota di testa dolce e fruttata, con un profumo succoso e vibrante. Si combina bene con note di cuore come fiori d'arancio o rosa, creando un bouquet luminoso e fresco. Inoltre, può essere armonizzato con note di fondo come vaniglia o ambra, per aggiungere una dimensione calda e avvolgente alla composizione.
"
"Mirto","0 ml","",""
"Muschio","10 ml","Fondo","L'olio essenziale di muschio è caratterizzato da un profilo olfattivo ricco, profondo e terroso. Ha una fragranza calda e sensuale, spesso descritta come avvolgente e sofisticata. Le note di muschio possono ricordare la pelle e la natura, conferendo una sensazione di comfort e intimità.

Posizionamento nel profumo:

Nota di fondo: grazie alla sua persistenza e capacità di fissare le altre fragranze.


Accoppiamenti consigliati:

Nota di testa: Citrus freschi (come mandarino) per un'apertura luminosa.

Nota di cuore: Fiori orientali (come gelsomino o rosa) per aggiungere complessità e dolcezza.


Questa combinazione crea un profumo equilibrato, dove il muschio conferisce profondità e calore, rendendo la fragranza avvolgente e intrigante.

"
"Muschio Bianco ","1 ml","Fondo","L'olio essenziale di muschio bianco è una nota di fondo morbida e avvolgente, caratterizzata da un aroma pulito e delicato che evoca la freschezza della pelle. La sua fragranza, leggera e quasi talcata, porta una sensazione di intimità e comfort. Si sposa bene con note floreali come il gelsomino e il lillà, creando un effetto raffinato e sofisticato. Inoltre, si armonizza con note legnose come il sandalo e il cedro, aggiungendo una profondità calda e avvolgente. Il muschio bianco, con la sua qualità sensuale e rassicurante, dona a ogni composizione un’aura di eleganza e freschezza duratura.
"
"Muschio di quercia ","0 ml","",""
"Neroli","0 ml","",""
"Nocciola","0 ml","",""
"Noce Moscata ","4 ml","Fondo","La noce moscata è tipicamente considerata una nota di cuore. Ha una persistenza moderata, emergendo dopo le note di testa e fornendo corpo e calore alla fragranza.Ha un aroma speziato, leggermente dolce e terroso che si combina bene con altre note di cuore come fiori, erbe e altre fragranze. In una composizione profumiera, la noce moscata può essere usata per aggiungere profondità e complessità, contribuendo con il suo caratteristico aroma caldo e speziato. Per esempio, si sposa bene con altre spezie, fiori e note legnose, rendendola una scelta versatile per molte fragranze.Quindi, per le tue composizioni, puoi utilizzare la noce moscata come nota di cuore per aggiungere un tocco speziato e ricco alla fragranza, contribuendo a creare una transizione armoniosa tra le note di testa e quelle di fondo."
"Note acquatiche","0 ml","",""
"Note ozoniche","0 ml","",""
"Oceano","10 ml","Cuore",""
"Olibano","0 ml","",""
"Olivo","0 ml","",""
"Orchidea","0 ml","",""
"Orchidea nera","0 ml","",""
"Origano ","0 ml","",""
"Osmanto","10 ml","",""
"Oud ","35 ml","Fondo","L'olio essenziale di oud è una nota di fondo intensa e misteriosa che evoca profondità e raffinatezza. La sua fragranza legnosa e resinosa si sposa magnificamente con note floreali come la rosa e il gelsomino creando un contrasto seducente. Si armonizza anche con le note speziate di pepe e cardamomo aggiungendo un tocco di calore. L'oud con la sua sfumatura affumicata e avvolgente conferisce a ogni composizione un'aura di lusso e intrigante complessità.
"
"Passion Fruit","5 ml","",""
"Patchouli","30 ml","Fondo","L'olio essenziale di patchouli è un ingrediente ricco e avvolgente, noto per il suo profilo aromatico profondo e terroso. Con note calde di legno e un accenno di dolcezza, evoca una sensazione di mistero e sensualità. Spesso utilizzato nelle composizioni orientali, il patchouli offre una base solida e persistente, capace di bilanciare fragranze floreali e fresche. La sua capacità di migliorare la durata dei profumi lo rende un elemento prezioso in ogni creazione olfattiva, evocando una connessione con la terra e la natura. Un vero must-have per ogni profumiere che desidera aggiungere profondità e carattere alle sue opere.

"
